Date;PX_LAST;Returns;PX_OPEN;PX_HIGH;PX_LOW;VOLUME;VWAP;VIX;PX_ASK;PX_BID;SPREAD;HIST_CALL_IMP_VOL;VOLATILITY_30D;VOLATILITY_60D;VOLATILITY_90D;Mkt-RF;SMB;HML;RMW;CMA;RF;Price Earnings Ratio (P/E);BEst P/E Ratio;Price/Cash Flow
04.01.2010;7.643;0;7.623;7.661;7.585;493728200;7.6314;20.04;7.655;7.651;0.004;38.109;25.769;27.408;25.459;1.69;0.79;1.12;-0.17;0.21;0;20.9;23.23;16.04
05.01.2010;7.656;0.001700903;7.664;7.700;7.616;601904016;7.6657;19.35;7.656;7.655;0.001;38.406;25.719;27.393;25.408;0.31;-0.41;1.24;-0.19;0.19;0;20.94;23.27;16.06
06.01.2010;7.535;-0.015804598;7.656;7.687;7.527;552158376;7.6068;19.16;7.534;7.533;0.001;37.016;24.878;27.654;25.607;0.13;-0.13;0.57;-0.05;0.2;0;20.6;22.42;15.81
07.01.2010;7.521;-0.001857996;7.563;7.571;7.466;477078140;7.5124;19.06;7.519;7.519;0;37.93;24.775;27.636;25.515;0.4;0.25;0.98;-0.69;0.22;0;20.56;21.74;15.78
08.01.2010;7.571;0.006648052;7.511;7.571;7.466;447876324;7.5324;18.13;7.571;7.57;0.001;36.378;24.82;27.636;25.289;0.33;0.32;0.01;0.22;-0.37;0;20.7;21.88;15.88
11.01.2010;7.504;-0.008849558;7.600;7.607;7.445;462229460;7.5043;17.55;7.505;7.501;0.004;36.462;24.322;27.702;25.36;0.13;-0.13;-0.25;0.19;0.59;0;20.52;21.69;15.74
12.01.2010;7.419;-0.011327292;7.471;7.492;7.372;594459096;7.4315;18.25;7.42;7.419;0.001;36.892;24.593;27.66;25.456;-1;-0.36;-1.28;0.49;-0.04;0;20.29;21.44;15.57
13.01.2010;7.523;0.014018062;7.424;7.533;7.289;605889340;7.4229;17.85;7.525;7.524;0.001;37.969;24.35;27.732;25.304;0.85;0.32;0.33;-0.36;0.08;0;20.57;21.01;15.79
14.01.2010;7.48;-0.005715805;7.504;7.516;7.465;433153644;7.4887;17.63;7.479;7.472;0.007;37.225;24.405;26.128;25.243;0.24;0.24;0.08;-0.29;-0.02;0;20.45;20.44;15.69
15.01.2010;7.355;-0.01671123;7.533;7.557;7.353;594336260;7.4329;17.91;7.355;7.354;0.001;39.31;25.066;25.606;25.362;-1.12;-0.19;-0.39;0.61;-0.15;0;20.11;20.09;15.43
19.01.2010;7.68;0.044187627;7.440;7.685;7.401;730006480;7.6045;17.58;7.679;7.679;0;37.2;27.362;27.165;26.303;1.26;0.42;-0.21;-0.1;0.01;0;21;20.32;16.11
20.01.2010;7.562;-0.015364583;7.675;7.698;7.482;612210508;7.5512;18.68;7.565;7.56;0.005;38.656;26.784;27.344;26.471;-0.98;-0.54;0.25;-0.58;-0.14;0;20.68;19.59;15.87
21.01.2010;7.431;-0.017323459;7.574;7.618;7.400;608154260;7.4685;22.27;7.3145;7.3075;0.007;40.791;27.531;27.558;26.658;-1.74;0.13;-1.11;-0.03;-0.45;0;20.32;18.91;15.59
22.01.2010;7.063;-0.049522272;7.385;7.411;7.041;881767488;7.2226;27.31;7.064;7.055;0.009;39.976;29.491;29.099;28.125;-2.14;0.51;-0.89;0.46;0;0;19.31;17.83;14.82
25.01.2010;7.253;0.02690075;7.233;7.311;7.150;1065699208;7.2471;25.41;7.251;7.245;0.006;40.921;30.451;29.104;27.767;0.37;-0.2;0.34;0.09;0.11;0;19.83;18.31;15.22
26.01.2010;7.355;0.014063146;7.355;7.633;7.235;1867109944;7.4415;24.55;7.353;7.353;0;34.699;30.518;28.945;27.758;-0.45;-0.23;-0.48;0.39;-0.05;0;20.11;18.16;15.43
